201117_0859,1,globals,Period,NumPeriods,RepeatTreatment,PracticePeriods,R1WT,R2WT,R3WT,RoundsFor1,RoundsFor2,RoundsFor3,num_subjects,r,r2,r3,r4,r5,Value,i,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,globals,1,30,0,14,15,1,1,4,4,4,8,0.021464434,0.723757157,0.985106356,0.002990955,0.405792568,80,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,logfile,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,globals,Period,NumPeriods,RepeatTreatment,PracticePeriods,R1WT,R2WT,R3WT,RoundsFor1,RoundsFor2,RoundsFor3,num_subjects,r,r2,r3,r4,r5,Value,i,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,globals,2,30,0,14,15,1,1,4,4,4,8,0.868709267,0.666900656,0.073698453,0.602783028,0.017211044,80,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,Type,rand,rank,Map,partner,Player,TimeContinueExplainExperimentOK,TimeContinueExplainExperimentInDepthOK,TimeContinueExplainZonesOK,Value,Loss,EZ1,TimeSubmitPracticeSingleZoneOK,pEZ1,PrWin1Z,Win1Z,pWin1Z,PO,TimeContinuePracticeSingleZoneWithInfoOK,PracProb1,TimeSubmitPracticeSingleZoneProbCalcOK,TimeContinueExplainDistrictsOK,TimeContinueExplainWinningCombinationsOK,ED1,TimeSubmitPractice1DistrictNoAdvOK,pED1,PrWin1D,Win1D,pWin1D,TimeContinuePractice1DistrictNoAdvWithInfoOK,PracProb2,TimeSubmitPractice1DistrictNoAdvProbCalcOK,TimeSubmitPractice1DistrictAdvBOK,PrWin1Da,PrWin1Db,TimeContinuePractice1DistrictAdvBWithInfoOK,TimeSubmitPractice1DistrictAdvAProbCalcAOK,PracProb3,TimeSubmitPractice1DistrictAdvBProbCalcEqualEffortOK,TimeSubmitPractice1DistrictAdvAAProbCalcAAWinOK,TimeSubmitPractice1DistrictAdvBBBProbCalcBBBOK,TimeContinueExplainRegionsOK,AnswerRegionQ,TimeContinuePractice1RegionOK,TimeContinueExplainMapsOK,TimeContinueExplainStage1OK,EDG5,ELG5,EW5,EDG4,ELG4,EW4,EDG3,ELG3,EW3,EDG2,ELG2,EW2,EDG1,ELG1,EW1,TimeSubmitStage1WithTimeOK,pEDG5,pELG5,pEW5,pEDG4,pELG4,pEW4,pEDG3,pELG3,pEW3,pEDG2,pELG2,pEW2,pEDG1,pELG1,pEW1,PrWin1a,PrWin1b,PrWin1,PrWin2a,PrWin2b,PrWin2,PrWin3a,PrWin3b,PrWin3,PrWin4a,PrWin4,PrWin5a,PrWin5b,PrWin5,Win1,Win2,Win3,Win4,Win5,pWin1,pWin2,pWin3,pWin4,pWin5,h,r_round,pr_round,Win_practice,TE1,TE2,TE3,TE4,TE5,PO1,PO2,PO3,PO4,PO5,PWDG1,PWLG1,PWW1,PWDG2,PWLG2,PWW2,PWDG3,PWLG3,PWW3,PWDG4,PWLG4,PWw4,PWDG5,PWLG5,PWW5,PWW4,TimeNextRoundStage1WithTimeWithInfoUpdateOK,TimeSubmitStage1OK,TimeNextRoundStage1WithInfoUpdateOK,TimeContinueExplainStage2OK,TimeSubmitStage2WithTimeAllPickOK,pMap,k,Comp_Map,pComp_Map,Win_Stage_2,TimeNextRoundStage2WithTimeAllPickWithInfoUpdateOK,TimeSubmitStage2AllPickOK,TimeNextRoundStage2AllPickWithInfoUpdateOK,TimeContinueExplainVeilOfIgnoranceOK,TimeSubmitStage3WithTimeBothPickAMapOK,t,LType,pLType,TimeSubmitStage3WithTimeAllEffortsOK,Win_Stage_4,TimeNextRoundStage3WithTimeOutcomeWithInfoUpdateOK,TimeSubmitStage3BothPickAMapOK,TimeSubmitStage3AllEffortsOK,TimeNextRoundStage3OutcomeWithInfoUpdateOK,TimeFinishedStage4EndOfComputerizedProcessOK,LeaveStage,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,1,4,0,0,0,1,0.442229515,4,-1,5,A,0,0,0,80,0,0,0,0,0.5,0,-1,0,0,0,0,0,0,0,0,0,0.25,0,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,1,1,0,1,0,0,0,1,0,1,0.111193639,1,3,0,0,0,0,0,0,80,80,0,80,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.389069258,-1,-1,1,0,0,0,0,0,0.657200169,B,A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,2,1,0,0,0,1,0.118854497,1,-1,8,A,0,0,0,80,0,0,0,0,0.5,0,-1,0,0,0,0,0,0,0,0,0,0.25,0,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,0,0,1,0,1,-1,-1,-1,-1,-1,0.987848512,5,2,1,0,0,0,0,0,0,0,80,0,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.258958108,-1,-1,1,0,0,0,0,0,0.187809238,A,A,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,3,3,0,0,0,1,0.43530054,3,-1,6,A,0,0,0,80,0,0,0,0,0.5,0,-1,0,0,0,0,0,0,0,0,0,0.25,0,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,0,0,1,0,1,-1,-1,-1,-1,-1,0.847890798,5,4,1,0,0,0,0,0,0,0,80,0,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.03869043,-1,-1,1,0,0,0,0,0,0.166246865,A,B,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,4,2,0,0,0,1,0.384969679,2,-1,7,A,0,0,0,80,0,0,0,0,0.5,0,-1,0,0,0,0,0,0,0,0,0,0.25,0,-1,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,1,1,0,1,0,0,0,1,0,1,0.391825759,2,3,0,0,0,0,0,0,80,80,0,80,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.355794229,-1,-1,1,0,0,0,0,0,0.892715489,B,B,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,5,4,0,0,0,2,0.987174549,8,-1,1,B,0,0,0,80,0,0,0,0,0.5,1,0,80,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,0,0,1,0,1,1,1,0,1,0,0.915425596,1,1,1,0,0,0,0,0,0,0,80,0,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.563234645,-1,-1,0,0,0,0,0,0,0.087018381,A,B,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,6,3,0,0,0,2,0.889827658,7,-1,3,B,0,0,0,80,0,0,0,0,0.5,1,0,80,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,1,1,0,1,0,0,0,1,0,1,0.649894666,5,5,0,0,0,0,0,0,80,80,0,80,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.576682724,-1,-1,0,0,0,0,0,0,0.9334713,B,A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,7,2,0,0,0,2,0.707766047,6,-1,4,B,0,0,0,80,0,0,0,0,0.5,1,0,80,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.25,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.75,0,0,1,0,1,1,1,0,1,0,0.599325912,2,2,1,0,0,0,0,0,0,0,80,0,80,0,1,0.5,0,1,0.5,0,1,0.5,#NAME?,#NAME?,#NAME?,0,1,0.5,0.5,0,0,0,0,0,-1,0.36574834,-1,-1,0,0,0,0,0,0,0.263578031,A,B,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,subjects,2,8,1,0,0,0,2,0.694290607,5,-1,2,B,0,0,0,80,0,0,0,0,0.5,1,0,80,0,0,0,0,0,0,0,0,0.75,1,0,0,0,0,0,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NAME?,#NAME?,0.75,#NAME?,#NAME?,0.5,#NAME?,#NAME?,0.5,0.5,0.5,#NAME?,#NAME?,0.25,1,1,0,1,0,0,0,1,0,1,0.852141496,5,5,0,0,0,0,0,0,80,80,0,80,0,1,0,0.5,1,0,0.5,1,0,0.5,#NAME?,#NAME?,#NAME?,1,0,0.5,0.5,0,0,0,0,0,-1,0.617502573,-1,-1,0,0,0,0,0,0,0.607428914,B,A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
201117_0859,1,contracts,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,logfile,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,globals,Period,NumPeriods,RepeatTreatment,PracticePeriods,R1WT,R2WT,R3WT,RoundsFor1,RoundsFor2,RoundsFor3,num_subjects,r,r2,r3,r4,r5,Value,i,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201117_0859,1,globals,3,30,0,14,15,1,1,4,4,4,8,0.270059198,0.275169991,0.334766677,0.419755135,0.127343307,80,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
